epoch,train_loss,mean_train_macro_f1,mean_val_macro_f1,overfit_artist,overfit_genre,overfit_style
1,1.6356317966557086,0.5405211887551382,0.5403811033727192,False,False,False
2,1.1091249575249569,0.6215979088834737,0.618868822539448,False,False,False
3,0.9914414405062212,0.6575878284489941,0.6396784334104906,False,False,False
4,0.9232070643905891,0.6802446641494533,0.6609481887344192,False,False,False
5,0.8764952289712503,0.6983981232959128,0.6802449443193352,False,False,False
6,0.8392039973423611,0.7157603718491249,0.691911516235785,False,False,False
7,0.8092154760458911,0.7292516085602698,0.6946924207612549,False,False,False
8,0.7830251951617049,0.7367777253339769,0.6930452709496296,False,False,False
9,0.759641281661303,0.7538149334092231,0.7085605929381016,False,False,False
10,0.7387532856164537,0.758399700209103,0.703703763468956,False,False,False
11,0.7193448606387414,0.7677179189863997,0.7122159929219357,False,False,False
12,0.7024736473771327,0.7805177216678117,0.719383022119604,False,False,False
13,0.6843165568374396,0.7861586941165154,0.7198580952594238,True,False,False
14,0.6680803065403602,0.7892394225915217,0.7209538290092486,True,False,False
15,0.6549609378079065,0.8027712717362888,0.7182426804454489,True,False,False
16,0.6396400510651097,0.8097695388928704,0.7232779873404486,True,False,False
