row_id,artist_id,genre_id,style_id,artist,genre,style,stratify_key,source_split,corruption,degraded_image_relpath
13611,4,1,12,claude-monet,cityscape,Impressionism,combo::claude-monet||cityscape||Impressionism,exact_artworks,gaussian_blur,degraded_exact_artworks/gaussian_blur/row_013611.jpg
13611,4,1,12,claude-monet,cityscape,Impressionism,combo::claude-monet||cityscape||Impressionism,exact_artworks,strong_gaussian_blur,degraded_exact_artworks/strong_gaussian_blur/row_013611.jpg
13611,4,1,12,claude-monet,cityscape,Impressionism,combo::claude-monet||cityscape||Impressionism,exact_artworks,small_center_crop,degraded_exact_artworks/small_center_crop/row_013611.jpg
13611,4,1,12,claude-monet,cityscape,Impressionism,combo::claude-monet||cityscape||Impressionism,exact_artworks,medium_center_crop,degraded_exact_artworks/medium_center_crop/row_013611.jpg
13611,4,1,12,claude-monet,cityscape,Impressionism,combo::claude-monet||cityscape||Impressionism,exact_artworks,warm_shift,degraded_exact_artworks/warm_shift/row_013611.jpg
13611,4,1,12,claude-monet,cityscape,Impressionism,combo::claude-monet||cityscape||Impressionism,exact_artworks,desaturated,degraded_exact_artworks/desaturated/row_013611.jpg
13611,4,1,12,claude-monet,cityscape,Impressionism,combo::claude-monet||cityscape||Impressionism,exact_artworks,tilt_left,degraded_exact_artworks/tilt_left/row_013611.jpg
13611,4,1,12,claude-monet,cityscape,Impressionism,combo::claude-monet||cityscape||Impressionism,exact_artworks,tilt_right,degraded_exact_artworks/tilt_right/row_013611.jpg
13611,4,1,12,claude-monet,cityscape,Impressionism,combo::claude-monet||cityscape||Impressionism,exact_artworks,perspective_left,degraded_exact_artworks/perspective_left/row_013611.jpg
13611,4,1,12,claude-monet,cityscape,Impressionism,combo::claude-monet||cityscape||Impressionism,exact_artworks,perspective_right,degraded_exact_artworks/perspective_right/row_013611.jpg
22430,42,4,12,alfred-sisley,landscape,Impressionism,combo::alfred-sisley||landscape||Impressionism,exact_artworks,gaussian_blur,degraded_exact_artworks/gaussian_blur/row_022430.jpg
22430,42,4,12,alfred-sisley,landscape,Impressionism,combo::alfred-sisley||landscape||Impressionism,exact_artworks,strong_gaussian_blur,degraded_exact_artworks/strong_gaussian_blur/row_022430.jpg
22430,42,4,12,alfred-sisley,landscape,Impressionism,combo::alfred-sisley||landscape||Impressionism,exact_artworks,small_center_crop,degraded_exact_artworks/small_center_crop/row_022430.jpg
22430,42,4,12,alfred-sisley,landscape,Impressionism,combo::alfred-sisley||landscape||Impressionism,exact_artworks,medium_center_crop,degraded_exact_artworks/medium_center_crop/row_022430.jpg
22430,42,4,12,alfred-sisley,landscape,Impressionism,combo::alfred-sisley||landscape||Impressionism,exact_artworks,warm_shift,degraded_exact_artworks/warm_shift/row_022430.jpg
22430,42,4,12,alfred-sisley,landscape,Impressionism,combo::alfred-sisley||landscape||Impressionism,exact_artworks,desaturated,degraded_exact_artworks/desaturated/row_022430.jpg
22430,42,4,12,alfred-sisley,landscape,Impressionism,combo::alfred-sisley||landscape||Impressionism,exact_artworks,tilt_left,degraded_exact_artworks/tilt_left/row_022430.jpg
22430,42,4,12,alfred-sisley,landscape,Impressionism,combo::alfred-sisley||landscape||Impressionism,exact_artworks,tilt_right,degraded_exact_artworks/tilt_right/row_022430.jpg
22430,42,4,12,alfred-sisley,landscape,Impressionism,combo::alfred-sisley||landscape||Impressionism,exact_artworks,perspective_left,degraded_exact_artworks/perspective_left/row_022430.jpg
22430,42,4,12,alfred-sisley,landscape,Impressionism,combo::alfred-sisley||landscape||Impressionism,exact_artworks,perspective_right,degraded_exact_artworks/perspective_right/row_022430.jpg
8462,4,10,12,claude-monet,Unknown Genre,Impressionism,combo::claude-monet||Unknown Genre||Impressionism,exact_artworks,gaussian_blur,degraded_exact_artworks/gaussian_blur/row_008462.jpg
8462,4,10,12,claude-monet,Unknown Genre,Impressionism,combo::claude-monet||Unknown Genre||Impressionism,exact_artworks,strong_gaussian_blur,degraded_exact_artworks/strong_gaussian_blur/row_008462.jpg
8462,4,10,12,claude-monet,Unknown Genre,Impressionism,combo::claude-monet||Unknown Genre||Impressionism,exact_artworks,small_center_crop,degraded_exact_artworks/small_center_crop/row_008462.jpg
8462,4,10,12,claude-monet,Unknown Genre,Impressionism,combo::claude-monet||Unknown Genre||Impressionism,exact_artworks,medium_center_crop,degraded_exact_artworks/medium_center_crop/row_008462.jpg
8462,4,10,12,claude-monet,Unknown Genre,Impressionism,combo::claude-monet||Unknown Genre||Impressionism,exact_artworks,warm_shift,degraded_exact_artworks/warm_shift/row_008462.jpg
8462,4,10,12,claude-monet,Unknown Genre,Impressionism,combo::claude-monet||Unknown Genre||Impressionism,exact_artworks,desaturated,degraded_exact_artworks/desaturated/row_008462.jpg
8462,4,10,12,claude-monet,Unknown Genre,Impressionism,combo::claude-monet||Unknown Genre||Impressionism,exact_artworks,tilt_left,degraded_exact_artworks/tilt_left/row_008462.jpg
8462,4,10,12,claude-monet,Unknown Genre,Impressionism,combo::claude-monet||Unknown Genre||Impressionism,exact_artworks,tilt_right,degraded_exact_artworks/tilt_right/row_008462.jpg
8462,4,10,12,claude-monet,Unknown Genre,Impressionism,combo::claude-monet||Unknown Genre||Impressionism,exact_artworks,perspective_left,degraded_exact_artworks/perspective_left/row_008462.jpg
8462,4,10,12,claude-monet,Unknown Genre,Impressionism,combo::claude-monet||Unknown Genre||Impressionism,exact_artworks,perspective_right,degraded_exact_artworks/perspective_right/row_008462.jpg
14633,22,8,21,vincent-van-gogh,sketch_and_study,Realism,combo::vincent-van-gogh||sketch_and_study||Realism,exact_artworks,gaussian_blur,degraded_exact_artworks/gaussian_blur/row_014633.jpg
14633,22,8,21,vincent-van-gogh,sketch_and_study,Realism,combo::vincent-van-gogh||sketch_and_study||Realism,exact_artworks,strong_gaussian_blur,degraded_exact_artworks/strong_gaussian_blur/row_014633.jpg
14633,22,8,21,vincent-van-gogh,sketch_and_study,Realism,combo::vincent-van-gogh||sketch_and_study||Realism,exact_artworks,small_center_crop,degraded_exact_artworks/small_center_crop/row_014633.jpg
14633,22,8,21,vincent-van-gogh,sketch_and_study,Realism,combo::vincent-van-gogh||sketch_and_study||Realism,exact_artworks,medium_center_crop,degraded_exact_artworks/medium_center_crop/row_014633.jpg
14633,22,8,21,vincent-van-gogh,sketch_and_study,Realism,combo::vincent-van-gogh||sketch_and_study||Realism,exact_artworks,warm_shift,degraded_exact_artworks/warm_shift/row_014633.jpg
14633,22,8,21,vincent-van-gogh,sketch_and_study,Realism,combo::vincent-van-gogh||sketch_and_study||Realism,exact_artworks,desaturated,degraded_exact_artworks/desaturated/row_014633.jpg
14633,22,8,21,vincent-van-gogh,sketch_and_study,Realism,combo::vincent-van-gogh||sketch_and_study||Realism,exact_artworks,tilt_left,degraded_exact_artworks/tilt_left/row_014633.jpg
14633,22,8,21,vincent-van-gogh,sketch_and_study,Realism,combo::vincent-van-gogh||sketch_and_study||Realism,exact_artworks,tilt_right,degraded_exact_artworks/tilt_right/row_014633.jpg
14633,22,8,21,vincent-van-gogh,sketch_and_study,Realism,combo::vincent-van-gogh||sketch_and_study||Realism,exact_artworks,perspective_left,degraded_exact_artworks/perspective_left/row_014633.jpg
14633,22,8,21,vincent-van-gogh,sketch_and_study,Realism,combo::vincent-van-gogh||sketch_and_study||Realism,exact_artworks,perspective_right,degraded_exact_artworks/perspective_right/row_014633.jpg
15608,12,7,15,marc-chagall,religious_painting,Naive_Art_Primitivism,combo::marc-chagall||religious_painting||Naive_Art_Primitivism,exact_artworks,gaussian_blur,degraded_exact_artworks/gaussian_blur/row_015608.jpg
